feature,importance
dias_desde_ultima_compra,0.459096558671608
dias_unicos_compra,0.11675641960254517
regularidade,0.09227660069271476
intervalo_medio_dias,0.07307419986413703
total_compras,0.07047188208374652
tickets_total,0.02888517768094936
hora_std,0.027808560093465457
mes_preferido,0.018007643670999707
destinos_unicos,0.017526738239929906
gmv_total,0.01420378944326281
empresas_unicas,0.013784278707337469
gmv_std,0.012244545817360493
gmv_min,0.00794225084063768
origens_unicas,0.0076869000586564885
gmv_medio,0.005863529451988711
gmv_ultima_compra,0.005714911583608147
gmv_max,0.005244647535863009
destino_ultima,0.00484619128733343
empresa_ultima,0.004753425663825099
origem_ultima,0.004326450000208139
hora_media,0.0037017512420320807
tickets_medio,0.002372770431271446
dia_semana_preferido,0.00179617622183049
tickets_max,0.0008994666025907785
tickets_ultima_compra,0.0007151345120979431
